,State prisons,Federal prisons
1925,"85,239","6,430"
1926,"91,188","6,803"
1927,"101,624","7,722"
1928,"108,157","8,233"
1929,"107,532","12,964"
1930,"117,268","12,185"
1931,"124,118","12,964"
1932,"125,721","12,276"
1933,"125,962","10,848"
1934,"126,258","12,058"
1935,"129,418","14,762"
1936,"129,664","15,374"
1937,"137,432","15,309"
1938,"143,152","17,133"
1939,"160,088","19,730"
1940,"154,446","19,260"
1941,"146,974","18,465"
1942,"133,761","16,623"
1943,"121,107","16,113"
1944,"114,317","18,139"
1945,"115,011","18,638"
1946,"122,457","17,622"
1947,"134,158","17,146"
1948,"139,649","16,328"
1949,"146,881","16,868"
1950,"149,031","17,134"
1951,"148,285","17,395"
1952,"150,219","18,014"
1953,"154,216","19,363"
1954,"162,898","20,003"
1955,"165,692","20,088"
1956,"169,431","20,134"
1957,"174,836","20,420"
1958,"184,094","21,549"
1959,"185,613","22,492"
1960,"189,735","23,218"
1961,"196,453","23,696"
1962,"194,886","23,944"
1963,"194,155","23,128"
1964,"192,627","21,709"
1965,"189,855","21,040"
1966,"180,409","19,245"
1967,"175,317","19,579"
1968,"167,571","19,703"
1969,"177,513","19,623"
1970,"176,403","20,038"
1971,"177,113","20,948"
1972,"174,379","21,713"
1973,"181,396","22,815"
1974,"196,105","22,361"
1975,"216,462","24,131"
1976,"235,853","26,980"
1977,"247,507","28,650"
1978,"268,005","26,391"
1979,"278,882","22,588"
1980,"295,353","20,611"
1981,"331,504","22,169"
1982,"371,864","23,652"
1983,"393,015","26,331"
1984,"415,796","27,602"
1985,"447,873","32,695"
1986,"485,553","36,531"
1987,"521,289","39,523"
1988,"560,994","42,738"
1989,"633,739","47,168"
1990,"689,577","50,403"
1991,"732,916","56,696"
1992,"780,571","65,706"
1993,"857,675","74,399"
1994,"936,896","79,795"
1995,"1,001,359","83,663"
1996,"1,048,907","88,815"
1997,"1,099,347","94,987"
1998,"1,152,792","103,682"
1999,"1,189,806","114,275"
2000,"1,209,130","125,044"
2001,"1,208,708","136,509"
2002,"1,237,476","143,040"
2003,"1,256,442","151,919"
2004,"1,274,591","159,137"
2005,"1,296,693","166,173"
2006,"1,331,065","173,533"
2007,"1,353,647","179,204"
2008,"1,365,409","182,333"
2009,"1,365,688","187,886"
2010,"1,362,028","190,641"
2011,"1,341,797","197,050"
2012,"1,315,856","196,574"
2013,"1,325,305","195,098"
2014,"1,316,407","191,374"
2015,"1,298,159","178,688"
2016,"1,286,691","171,482"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
